city,local_time,temperature
Accra,Thu 4:36 am,77 °F
Edmonton *,Wed 10:36 pm,54 °F
Nassau *,Thu 12:36 am,82 °F
Addis Ababa,Thu 7:36 am,55 °F
Frankfurt *,Thu 6:36 am,64 °F
New Delhi,Thu 10:06 am,91 °F
Adelaide,Thu 2:06 pm,58 °F
Guatemala City,Wed 10:36 pm,66 °F
New Orleans *,Wed 11:36 pm,82 °F
Algiers,Thu 5:36 am,73 °F
Halifax *,Thu 1:36 am,55 °F
New York *,Thu 12:36 am,68 °F
Almaty,Thu 9:36 am,82 °F
Hanoi,Thu 11:36 am,90 °F
Oslo *,Thu 6:36 am,54 °F
Amman,Thu 7:36 am,70 °F
Harare,Thu 6:36 am,47 °F
Ottawa *,Thu 12:36 am,63 °F
Amsterdam *,Thu 6:36 am,61 °F
Havana *,Thu 12:36 am,81 °F
Paris *,Thu 6:36 am,66 °F
Anadyr,Thu 4:36 pm,47 °F
Helsinki *,Thu 7:36 am,57 °F
Perth,Thu 12:36 pm,57 °F
Anchorage *,Wed 8:36 pm,61 °F
Hong Kong,Thu 12:36 pm,77 °F
Philadelphia *,Thu 12:36 am,74 °F
Ankara,Thu 7:36 am,63 °F
Honolulu,Wed 6:36 pm,84 °F
Phoenix,Wed 9:36 pm,94 °F
Antananarivo,Thu 7:36 am,46 °F
Houston *,Wed 11:36 pm,80 °F
Prague *,Thu 6:36 am,64 °F
Asuncion,Thu 1:36 am,54 °F
Indianapolis *,Thu 12:36 am,71 °F
Reykjavik,Thu 4:36 am,50 °F
Athens *,Thu 7:36 am,75 °F
Islamabad,Thu 9:36 am,82 °F
Rio de Janeiro,Thu 1:36 am,66 °F
Atlanta *,Thu 12:36 am,76 °F
Istanbul,Thu 7:36 am,68 °F
Riyadh,Thu 7:36 am,90 °F
Auckland,Thu 4:36 pm,55 °F
Jakarta,Thu 11:36 am,88 °F
Rome *,Thu 6:36 am,68 °F
Baghdad,Thu 7:36 am,88 °F
Jerusalem *,Thu 7:36 am,63 °F
Salt Lake City *,Wed 10:36 pm,81 °F
Bangkok,Thu 11:36 am,90 °F
Johannesburg,Thu 6:36 am,52 °F
San Francisco *,Wed 9:36 pm,62 °F
Barcelona *,Thu 6:36 am,70 °F
Karachi,Thu 9:36 am,88 °F
San Juan,Thu 12:36 am,81 °F
Beijing,Thu 12:36 pm,78 °F
Kathmandu,Thu 10:21 am,79 °F
San Salvador,Wed 10:36 pm,75 °F
Belgrade *,Thu 6:36 am,64 °F
Kingston,Wed 11:36 pm,84 °F
Santiago,Thu 12:36 am,46 °F
Bengaluru,Thu 10:06 am,77 °F
Kinshasa,Thu 5:36 am,72 °F
Santo Domingo,Thu 12:36 am,83 °F
Berlin *,Thu 6:36 am,68 °F
Kiritimati,Thu 6:36 pm,84 °F
São Paulo,Thu 1:36 am,52 °F
Bogota,Wed 11:36 pm,55 °F
Kolkata,Thu 10:06 am,91 °F
Seattle *,Wed 9:36 pm,71 °F
Boston *,Thu 12:36 am,67 °F
Kuala Lumpur,Thu 12:36 pm,90 °F
Seoul,Thu 1:36 pm,86 °F
Brasilia,Thu 1:36 am,63 °F
Kuwait City,Thu 7:36 am,85 °F
Shanghai,Thu 12:36 pm,84 °F
Brisbane,Thu 2:36 pm,68 °F
Kyiv *,Thu 7:36 am,56 °F
Singapore,Thu 12:36 pm,86 °F
Brussels *,Thu 6:36 am,61 °F
La Paz,Thu 12:36 am,39 °F
Sofia *,Thu 7:36 am,57 °F
Bucharest *,Thu 7:36 am,63 °F
Lagos,Thu 5:36 am,79 °F
St. John's *,Thu 2:06 am,43 °F
Budapest *,Thu 6:36 am,61 °F
Lahore,Thu 9:36 am,91 °F
Stockholm *,Thu 6:36 am,57 °F
Buenos Aires,Thu 1:36 am,54 °F
Las Vegas *,Wed 9:36 pm,102 °F
Suva,Thu 4:36 pm,79 °F
Cairo *,Thu 7:36 am,73 °F
Lima,Wed 11:36 pm,73 °F
Sydney,Thu 2:36 pm,70 °F
Calgary *,Wed 10:36 pm,52 °F
Lisbon *,Thu 5:36 am,61 °F
Taipei,Thu 12:36 pm,90 °F
Canberra,Thu 2:36 pm,61 °F
London *,Thu 5:36 am,63 °F
Tallinn *,Thu 7:36 am,57 °F
Cape Town,Thu 6:36 am,57 °F
Los Angeles *,Wed 9:36 pm,66 °F
Tashkent,Thu 9:36 am,74 °F
Caracas,Thu 12:36 am,81 °F
Madrid *,Thu 6:36 am,73 °F
Tegucigalpa,Wed 10:36 pm,66 °F
Casablanca *,Thu 5:36 am,70 °F
Managua,Wed 10:36 pm,81 °F
Tehran,Thu 8:06 am,77 °F
Chicago *,Wed 11:36 pm,68 °F
Manila,Thu 12:36 pm,86 °F
Tokyo,Thu 1:36 pm,73 °F
Copenhagen *,Thu 6:36 am,61 °F
Melbourne,Thu 2:36 pm,61 °F
Toronto *,Thu 12:36 am,59 °F
Dallas *,Wed 11:36 pm,84 °F
Mexico City,Wed 10:36 pm,59 °F
Vancouver *,Wed 9:36 pm,63 °F
Dar es Salaam,Thu 7:36 am,72 °F
Miami *,Thu 12:36 am,83 °F
Vienna *,Thu 6:36 am,64 °F
Darwin,Thu 2:06 pm,86 °F
Minneapolis *,Wed 11:36 pm,61 °F
Warsaw *,Thu 6:36 am,54 °F
Denver *,Wed 10:36 pm,75 °F
Minsk,Thu 7:36 am,55 °F
Washington DC *,Thu 12:36 am,78 °F
Detroit *,Thu 12:36 am,66 °F
Montevideo,Thu 1:36 am,41 °F
Winnipeg *,Wed 11:36 pm,55 °F
Dhaka,Thu 10:36 am,86 °F
